country,city,longitud,latitud,temp_max,humidity,wind_speed,cloudiness,date
SB,Buala,159.59,-8.14,159.59,100,9.33,76,1512363639
RU,Provideniya,-173.3,64.38,-173.3,100,11.18,75,1512360000
EC,Manta,-80.73,-0.95,-80.73,83,5.82,90,1512360000
RU,Gornopravdinsk,69.9,60.05,69.9,93,11.34,88,1512363640
MU,Bambous Virieux,57.76,-20.34,57.76,69,16.11,40,1512360000
BS,Andros Town,-77.77,24.7,-77.77,69,9.17,20,1512360000
RU,Tiksi,128.87,71.69,128.87,79,2.8,48,1512363052
RU,Shalakusha,40.25,62.22,40.25,82,10.33,92,1512363642
MN,Ulaanbaatar,106.88,47.91,106.88,83,5.64,0,1512361800
US,Lompoc,-120.46,34.64,-120.46,91,21.85,1,1512362100
AU,Kununurra,128.73,-15.77,128.73,44,5.82,44,1512361800
CA,Iqaluit,-68.51,63.75,-68.51,72,17.22,75,1512360000
AO,Namibe,12.15,-15.2,12.15,100,2.57,24,1512363644
IN,Tura,90.22,25.52,90.22,68,4.36,0,1512363645
BW,Sehithwa,22.72,-20.47,22.72,87,4.36,76,1512363645
AU,Port Lincoln,135.87,-34.73,135.87,90,10.67,0,1512363646
NZ,Tuatapere,167.68,-46.13,167.68,73,17.34,92,1512363646
CA,Haines Junction,-137.51,60.75,-137.51,80,2.35,88,1512363647
GA,Mouila,11.06,-1.87,11.06,100,2.8,76,1512363647
RU,Chokurdakh,147.92,70.63,147.92,78,14.81,48,1512362793
US,Hilo,-155.09,19.73,-155.09,73,5.82,90,1512359760
CL,Coihaique,-72.07,-45.58,-72.07,67,4.7,0,1512360000
BR,Cabedelo,-34.83,-6.98,-34.83,88,5.82,20,1512360000
HT,Les Cayes,-73.75,18.2,-73.75,100,6.82,32,1512363650
IN,Kavaratti,72.64,10.57,72.64,97,23.2,64,1512363081
MA,Tiznit,-9.5,29.58,-9.5,78,5.08,0,1512363651
RU,Talakan,130.37,50.32,130.37,56,3.02,8,1512363651
GL,Narsaq,-46.05,60.92,-46.05,86,3.36,0,1512359400
BR,Salinopolis,-47.36,-0.61,-47.36,93,17.67,0,1512363652
GB,Penzance,-5.54,50.12,-5.54,93,9.17,75,1512359400
LV,Pavilosta,21.19,56.89,21.19,100,13.87,8,1512363000
US,Juneau,-134.42,58.3,-134.42,100,21.92,90,1512359760
US,Griffith,-87.42,41.53,-87.42,61,11.41,1,1512362100
US,La Palma,-118.05,33.85,-118.05,100,4.74,1,1512361980
AU,Yulara,130.99,-25.24,130.99,22,13.87,0,1512360000
ZA,Port Elizabeth,25.57,-33.92,25.57,93,7.65,0,1512360000
PY,Abai,-55.93,-26.03,-55.93,92,3.74,48,1512363655
TM,Baherden,57.43,38.44,57.43,100,5.08,24,1512363656
NO,Vardo,31.11,70.37,31.11,86,18.34,40,1512359400
SA,Buraydah,43.98,26.33,43.98,74,3.02,0,1512363100
AU,Flinders,150.86,-34.58,150.86,100,16.11,75,1512361800
RU,Orlik,99.83,52.52,99.83,71,3.62,32,1512363658
BR,Pitimbu,-34.81,-7.47,-34.81,88,5.82,20,1512360000
ET,Shambu,37.1,9.57,37.1,38,4.03,0,1512363659
RU,Kerchevskiy,56.29,59.95,56.29,86,8.39,92,1512363660
BR,Montanha,-40.36,-18.13,-40.36,96,3.06,56,1512363515
NC,Vao,167.48,-22.67,167.48,100,15.1,48,1512363660
PH,Alabat,122.02,14.1,122.02,100,8.95,76,1512363661
FR,Plerin,-2.78,48.54,-2.78,100,4.7,40,1512361800
KZ,Atasu,71.64,48.68,71.64,92,4.14,20,1512363662
VE,San Jose de Guanipa,-64.17,8.89,-64.17,83,13.09,100,1512363663
PT,Ponta do Sol,-17.1,32.67,-17.1,59,9.17,75,1512361800
RU,Pevek,170.31,69.7,170.31,76,10.89,8,1512363129
NZ,Wairoa,177.37,-39.03,177.37,61,11.9,0,1512363664
MV,Thinadhoo,72.93,0.53,72.93,100,14.09,80,1512363665
PH,Dingle,122.67,11.0,122.67,64,12.3,20,1512363137
VN,Tuyen Quang,105.22,21.82,105.22,91,3.51,24,1512363665
MM,Myitkyina,97.4,25.38,97.4,65,3.06,0,1512363666
AU,Geraldton,114.6,-28.77,114.6,65,14.99,75,1512361800
CD,Matadi,13.45,-5.82,13.45,95,3.06,36,1512363667
RU,Beringovskiy,179.32,63.05,179.32,91,10.45,80,1512363667
RU,Lavrentiya,-171.0,65.58,-171.0,100,14.36,56,1512363153
FR,Dieppe,1.08,49.93,1.08,100,3.36,90,1512361800
BR,Frutal,-48.94,-20.02,-48.94,96,6.15,48,1512363669
RU,Udachnyy,112.4,66.42,112.4,27,3.24,20,1512363669
BR,Maragogi,-35.22,-9.01,-35.22,98,6.6,36,1512363380
RU,Orlovskiy,42.06,46.87,42.06,89,12.08,64,1512363671
GL,Nanortalik,-45.24,60.14,-45.24,100,14.47,0,1512363167
AU,Clarence Town,151.78,-32.58,151.78,82,17.22,75,1512361800
RU,Chegdomyn,133.02,51.12,133.02,68,1.79,0,1512363672
CA,Torbay,-52.73,47.67,-52.73,100,12.75,90,1512361140
BR,Caravelas,-39.25,-17.71,-39.25,100,19.57,56,1512363176
ID,Tarakan,117.63,3.3,117.63,84,1.57,24,1512363674
ID,Sijunjung,100.95,-0.69,100.95,69,8.05,80,1512363675
IS,Hofn,-15.21,64.25,-15.21,100,2.39,88,1512363619
MN,Hovd,91.64,48.01,91.64,60,2.8,0,1512363676
CA,Shelburne,-80.2,44.08,-80.2,92,2.84,1,1512362400
CV,Sal Rei,-22.92,16.18,-22.92,73,13.87,40,1512360000
